"","ï..Island","Atoll","Rats","Savanna_ha","Wetland_ha","NativeForest_ha","NonNativeForest_ha","MixedShrub_ha","Savanna_p","Wetland_p","NativeForest_p","NonNativeForest_p","MixedShrub_p"
"5","Sudest_complex","EGMONTS ISLANDS","P",1.83,0,33.41,127.22,42.69,0.892030221788935,0,16.2856446502559,62.013161101633,20.8091640263222
"6","Lubine_complex","EGMONTS ISLANDS","P",4.51,10.53,15.73,131.27,55.14,2.07661847315591,4.84851275439727,7.24284004051939,60.4429505479326,25.3890781839948
"7","Danger","GREAT CHAGOS BANK","A",0,0,11.27,19.09,38.15,0,0,16.4501532622975,27.8645453218508,55.6853014158517
"8","Sea_Cow","GREAT CHAGOS BANK","A",2.11,0,4.21,7.03,7.11,10.3128054740958,0,20.5767350928641,34.3597262952102,34.7507331378299
"9","Eagle_Island","GREAT CHAGOS BANK","P",40.9,9.38,13.51,192.01,9.63,15.4089590475832,3.53388840748973,5.08985419884715,72.3392231473458,3.62807519873413
"14","Nelson's_Island","GREAT CHAGOS BANK","A",4.21,0,0.23,3.39,21.14,14.5322747670003,0,0.793924749741112,11.7017604418364,72.9720400414222
"15","Coin","PEROS BANHOS","P",0,0,4.23,117.77,3.46,0,0,3.37159253945481,93.8705563526223,2.75785110792284
"21","Finon","PEROS BANHOS","U",0,0,0,0.25,1.03,0,0,0,19.53125,80.46875
"22","Verte","PEROS BANHOS","U",0,0,0,0.87,2.92,0,0,0,22.9551451187335,77.0448548812665
"23","Unnamed_Burtle","PEROS BANHOS","U",0,0,0,0.57,1.86,0,0,0,23.4567901234568,76.5432098765432
"24","Manon","PEROS BANHOS","U",0,0,0,1.03,1.19,0,0,0,46.3963963963964,53.6036036036036
"29","Passe","PEROS BANHOS","P",0.24,0,1.441,19.71,0.03,1.12039587320853,0,6.72704355538957,92.0125110872508,0.140049484151067
"30","Moresby","PEROS BANHOS","P",0,3.54,6.61,20.52,0.9,0,11.2131770668356,20.9375989863795,64.9984162179284,2.85080772885651
"32","Parasol","PEROS BANHOS","A",3.15,0,0.02,1.39,3.33,39.9239543726236,0,0.253485424588086,17.617237008872,42.2053231939163
"33","Longue","PEROS BANHOS","A",1.47,0,1.67,7.27,7.97,7.99782372143634,0,9.08596300326442,39.5538628944505,43.3623503808488
"34","Grand_Bois_Mangue","PEROS BANHOS","A",1.62,0,1.32,4.04,4.91,13.6248948696384,0,11.1017661900757,33.9781328847771,41.2952060555088
"35","Petite_Bois_Mangue","PEROS BANHOS","A",0,0,3.18,2.75,2.13,0,0,39.454094292804,34.1191066997519,26.4267990074442
"36","Manoel","PEROS BANHOS","U",0.74,0,16.21,11.3,1.46,2.49074385728711,0,54.5607539548973,38.0343318747896,4.91417031302592
"38","Yeye","PEROS BANHOS","P",16.19,0,0,43.38,0,27.1781097868054,0,0,72.8218902131945,0
"39","Petite_Coquillage","PEROS BANHOS","A",5.98,0,0.16,4.87,7.29,32.6775956284153,0,0.87431693989071,26.6120218579235,39.8360655737705
"40","Grand_Coquillage","PEROS BANHOS","A",0.57,0,0.45,9.97,7.45,3.09110629067245,0,2.44034707158351,54.0672451193059,40.4013015184382
"41","Coin_de_Mire","PEROS BANHOS","A",0.33,0,0,0,0,100,0,0,0,0
"42","Vache_Marine","PEROS BANHOS","A",0.18,0,1.51,2.41,7.24,1.58730158730159,0,13.31569664903,21.2522045855379,63.8447971781305
"43","Fouquet","PEROS BANHOS","P",0,0,0.09,1.77,0.2,0,0,4.36893203883495,85.9223300970874,9.70873786407767
"45","Boddam","SALOMON ISLANDS","P",0.37,0.26,2.21,109.74,0.15,0.328217865696798,0.230639581300452,1.96043644105385,97.3476448150448,0.133061296904107
"46","Diable","SALOMON ISLANDS","P",0,0,0,0.07,0.03,0,0,0,70,30
"47","Anglaise","SALOMON ISLANDS","P",0.68,1.96,2.08,65.91,0.8,0.951980960380793,2.74394512109758,2.91194176116478,92.2721545569089,1.11997760044799
"48","Passe","SALOMON ISLANDS","A",0.17,0.03,6.26,21.01,0,0.618856934838005,0.109210047324354,22.7884965416818,76.4834364761558,0
"49","Mapou","SALOMON ISLANDS","A",0,0.06,1,2.68,0.24,0,1.50753768844221,25.1256281407035,67.3366834170854,6.03015075376884
"50","Takamaka","SALOMON ISLANDS","P",0,0,17.28,30.14,0.59,0,0,35.9925015621745,62.7785877942095,1.22891064361591
"51","Fouquet","SALOMON ISLANDS","P",0,0,11.51,33.72,0.18,0,0,25.346839903105,74.2567716362035,0.396388460691478
"52","Sepulture","SALOMON ISLANDS","P",0,0,0,0.77,0.1,0,0,0,88.5057471264368,11.4942528735632
"53","Jacobin","SALOMON ISLANDS","A",0,0,0.14,1.7,0,0,0,7.60869565217391,92.3913043478261,0
"54","Sel","SALOMON ISLANDS","A",0,0,0.64,1.33,0.15,0,0,30.188679245283,62.7358490566038,7.07547169811321
"55","Poule","SALOMON ISLANDS","P",0,0,0.05,0.12,0.29,0,0,10.8695652173913,26.0869565217391,63.0434782608696
