Island,Atoll,Rats,BareGround,BrackishWater,Broadleaf,CoconutPalm,CordiaSp,DeadCordia,FernGrove,Grass,Herb,Mangrove,MixedBroadleafCoconut,Papaya,PisoniaWoodland,SandWithSparseCover,ScaevolaTaccada,Thicket,Unknown,UnknownSp
Diego_Garcia,DIEG0 GARCIA,P,,,,,,,,,,,,,,,,,,
West_Island,DIEG0 GARCIA,A,,,,,,,,,,,,,,,,,,
Middle_Island,DIEG0 GARCIA,A,,,,,,,,,,,,,,,,,,
East_Island,DIEG0 GARCIA,A,,,,,,,,,,,,,,,,,,
Sudest_complex,EGMONTS ISLANDS,P,1.83,,33.41,127.22,,,,,,,,,,,,42.69,,
Lubine_complex,EGMONTS ISLANDS,P,4.51,10.53,6.47,131.27,,,,,,,9.26,,,,,55.14,,
Danger,GREAT CHAGOS BANK,A,,,11.27,19.09,,,,,,,,,,,,38.15,,
Sea_Cow,GREAT CHAGOS BANK,A,,,4.21,7.03,,,,2.11,,,,,,,,7.11,,
Eagle_Island,GREAT CHAGOS BANK,P,33.71,0.15,6.76,192.01,,,,7.19,,9.23,6.75,,,,,9.63,,
North_Brother,GREAT CHAGOS BANK,A,,,,,,,,,,,,,,,,,,
Middle_Brother,GREAT CHAGOS BANK,A,,,,,,,,,,,,,,,,,,
Resurgent,GREAT CHAGOS BANK,A,,,,,,,,,,,,,,,,,,
South_Brother,GREAT CHAGOS BANK,A,,,,,,,,,,,,,,,,,,
Nelson's_Island,GREAT CHAGOS BANK,A,,,,3.39,,,,4.21,,,,,0.23,,5.42,15.72,,
Coin,PEROS BANHOS,P,,,4.14,115.4,,,0.09,,,,,,,,,3.46,,2.37
Anglais,PEROS BANHOS,P,,,,,,,,,,,,,,,,,,
Monpatre_complex,PEROS BANHOS,P,,,,,,,,,,,,,,,,,,
Poule,PEROS BANHOS,P,,,,,,,,,,,,,,,,,,
Petit_Souer,PEROS BANHOS,P,,,,,,,,,,,,,,,,,,
Grand_Souer,PEROS BANHOS,P,,,,,,,,,,,,,,,,,,
Finon,PEROS BANHOS,U,,,,0.25,,,,,,,,,,,,1.03,,
Verte,PEROS BANHOS,U,,,,0.71,,,,,,,,,,,,2.92,0.16,
Unnamed_Burtle,PEROS BANHOS,U,,,,0.57,,,,,,,,,,,,1.86,,
Manon,PEROS BANHOS,U,,,,1.03,,,,,,,,,,,0.07,1.12,,
Pierre,PEROS BANHOS,P,,,,,,,,,,,,,,,,,,
Petite_Mapou,PEROS BANHOS,P,,,,,,,,,,,,,,,,,,
Grande_Mapou,PEROS BANHOS,P,,,,,,,,,,,,,,,,,,
Diamant,PEROS BANHOS,P,,,,,,,,,,,,,,,,,,
Passe,PEROS BANHOS,P,0.24,,0.83,19.71,,,,,,,0.611,,,,0.03,,,
Moresby,PEROS BANHOS,P,,0.52,,20.52,,,,,,3.02,6.47,,0.14,,0.9,,,
Saint_Brandon,PEROS BANHOS,A,,,,,,,,,,,,,,,,,,
Parasol,PEROS BANHOS,A,,,,1.39,,,,3.15,,,,,0.02,,,3.33,,
Longue,PEROS BANHOS,A,,,1.63,7.27,,,,1.47,,,,,0.04,,,7.97,,
Grand_Bois_Mangue,PEROS BANHOS,A,,,0.37,4.04,,,,1.62,,,,,0.95,,,4.91,,
Petite_Bois_Mangue,PEROS BANHOS,A,,,,2.75,,,,,,,,,3.18,,,2.13,,
Manoel,PEROS BANHOS,U,0.74,,,11.3,,,,,,,16.21,,,,0.25,1.21,,
Unnamed_Marlin,PEROS BANHOS,A,,,,,,,,,,,,,,,,,,
Yeye,PEROS BANHOS,P,7.79,,,43.38,,,,8.4,,,,,,,,,,
Petite_Coquillage,PEROS BANHOS,A,,,0.16,4.38,,,,5.61,,,,0.09,,0.37,,7.29,,0.4
Grand_Coquillage,PEROS BANHOS,A,0.1,,0.29,9.97,0.16,,,0.47,,,,,,,,7.45,,
Coin_de_Mire,PEROS BANHOS,A,,,,,,,,0.04,0.29,,,,,,,,,
Vache_Marine,PEROS BANHOS,A,,,1.51,2.41,,,,,,,,,,0.18,,7.24,,
Fouquet,PEROS BANHOS,P,,,0.09,1.77,,,,,,,,,,,,0.2,,
Mapou_de_Coin,PEROS BANHOS,P,,,,,,,,,,,,,,,,,,
Boddam,SALOMON ISLANDS,P,0.31,0.26,2.21,105.31,,,,0.06,,,,,,,0.15,,4.43,
Diable,SALOMON ISLANDS,P,,,,0.07,,,,,,,,,,,,0.03,,
Anglaise,SALOMON ISLANDS,P,0.68,0.7,2.08,65.42,,,,,,1.26,,,,,,0.8,0.49,
Passe,SALOMON ISLANDS,A,,0.03,3.13,21.01,,,,0.17,,,3.13,,,,,,,
Mapou,SALOMON ISLANDS,A,,0.06,0.96,2.68,,0.04,,,,,,,,,0.24,,,
Takamaka,SALOMON ISLANDS,P,,,17.28,30.14,,,,,,,,,,,,0.59,,
Fouquet,SALOMON ISLANDS,P,,,11.51,33.72,,,,,,,,,,,,0.18,,
Sepulture,SALOMON ISLANDS,P,,,,0.77,,,,,,,,,,,,0.1,,
Jacobin,SALOMON ISLANDS,A,,,0.14,1.7,,,,,,,,,,,,,,
Sel,SALOMON ISLANDS,A,,,0.64,1.33,,,,,,,,,,,0.15,,,
Poule,SALOMON ISLANDS,P,,,0.05,0.12,,,,,,,,,,,,0.29,,
